code_state;UF;name_state;code_region;name_region;NU_NOTA_REDACAO
11,0;RO;Rondônia;1,0;Norte;611,1745490697344
12,0;AC;Acre;1,0;Norte;614,9041095890411
13,0;AM;Amazônas;1,0;Norte;550,4387043870439
14,0;RR;Roraima;1,0;Norte;609,1997479521109
15,0;PA;Pará;1,0;Norte;637,281470094026
16,0;AP;Amapá;1,0;Norte;632,6227614095899
17,0;TO;Tocantins;1,0;Norte;603,9863645478243
21,0;MA;Maranhão;2,0;Nordeste;600,773452456924
22,0;PI;Piauí;2,0;Nordeste;645,7548918640576
23,0;CE;Ceará;2,0;Nordeste;578,0128903779653
24,0;RN;Rio Grande Do Norte;2,0;Nordeste;680,2732316227462
25,0;PB;Paraíba;2,0;Nordeste;649,3669902912621
26,0;PE;Pernambuco;2,0;Nordeste;644,2416022163222
27,0;AL;Alagoas;2,0;Nordeste;609,6588302752293
28,0;SE;Sergipe;2,0;Nordeste;668,167947959787
29,0;BA;Bahia;2,0;Nordeste;659,8152015333123
31,0;MG;Minas Gerais;3,0;Sudeste;698,7539035145826
32,0;ES;Espírito Santo;3,0;Sudeste;673,9940313354887
33,0;RJ;Rio De Janeiro;3,0;Sudeste;676,7250941181233
35,0;SP;São Paulo;3,0;Sudeste;654,0567005568173
41,0;PR;Paraná;4,0;Sul;619,4688626351622
42,0;SC;Santa Catarina;4,0;Sul;657,184039225632
43,0;RS;Rio Grande Do Sul;4,0;Sul;666,9990334549309
50,0;MS;Mato Grosso Do Sul;5,0;Centro Oeste;629,792072774529
51,0;MT;Mato Grosso;5,0;Centro Oeste;626,9582213535305
52,0;GO;Goiás;5,0;Centro Oeste;649,2253322024314
53,0;DF;Distrito Federal;5,0;Centro Oeste;663,3997264997919
